"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"45 Jahre";76476;75436;77020;77610;80302;78249;78757;78958;80118;80679;80593;79425;81377;82797;84032;88541;93741;96903;99719;100291;103077;102811;103442;101398;102051;98092;100933;100171;102287;104194;107589;110060;111768;115222;118068;120547;124365;129457;133819;132330;132442;129881;129382;127255;124883;123928;120737;117882
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"46 Jahre";75610;76153;75224;76780;77466;79390;77380;78136;78585;79839;80448;80456;79277;81045;82550;83816;88377;93618;96944;99627;100248;103112;102533;103212;101199;101816;97658;100493;99821;102112;104161;107605;110239;111936;115409;118190;120703;125085;130543;134626;133287;133048;130637;130255;128140;125593;124455;121145
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"47 Jahre";74820;75308;75935;75000;76509;76698;78477;76801;77754;78277;79641;80262;80253;78995;80698;82258;83674;88180;93583;96834;99121;100019;102757;102258;102825;100881;101279;97239;100225;99573;101976;104089;107735;110283;111872;115510;118305;121385;126095;131262;135525;133821;133681;131632;131074;128798;126056;124767
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"48 Jahre";74861;74468;75096;75574;74784;75698;75908;77773;76421;77370;78018;79381;80110;79895;78685;80314;82050;83445;88046;93344;96597;98985;99611;102457;101837;102511;100348;100682;96803;99998;99443;101809;104158;107839;110209;111804;115565;118754;122241;126533;131885;135997;134307;134445;132348;131653;129200;126312
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"49 Jahre";73600;74482;74233;74684;75319;74012;74894;75330;77312;76032;77097;77829;79134;79666;79580;78375;80072;81757;83279;87752;93028;96340;98596;99222;102103;101405;101873;99700;100237;96540;99720;99209;101951;104098;107785;110097;111791;115853;119488;122752;127131;132256;136470;134937;135157;132787;131923;129490
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"50 Jahre";74920;73200;74205;73860;74421;74604;73236;74328;74972;76925;75750;76809;77551;78730;79326;79245;78082;79751;81481;82942;87299;92787;95796;98115;98694;101587;100766;101152;99156;99880;96250;99458;99157;101742;104027;107513;109972;111976;116389;119720;123087;127385;132614;136985;135381;135414;133045;131882
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"51 Jahre";73952;74562;72959;73790;73557;73731;73848;72689;73870;74603;76593;75485;76536;77128;78305;78923;78946;77793;79547;81214;82461;86985;92225;95284;97630;98157;100839;100064;100647;98738;99294;95879;99357;98936;101621;103845;107339;109934;112390;116589;120047;123289;127630;133055;137385;135553;135438;132985
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"52 Jahre";62470;73451;74243;72527;73400;72833;73056;73233;72177;73362;74247;76284;75097;76112;76685;77858;78495;78513;77467;79143;80422;82043;86281;91704;94672;96995;97364;100035;99451;100210;98430;98908;95697;99012;98605;101258;103527;107265;110344;112471;116665;120147;123354;127962;133323;137557;135542;135292
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"53 Jahre";60301;62119;72982;73784;72164;72708;71955;72416;72711;71710;72956;73860;75888;74569;75588;76130;77406;78035;78088;77012;78269;80063;81348;85794;91193;94024;96216;96557;99565;98813;99965;97922;98692;95296;98656;98294;100917;103299;107476;110352;112578;116703;120128;123655;128126;133203;137480;135189
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"54 Jahre";58627;59949;61823;72372;73379;71369;71922;71265;71896;72207;71320;72568;73470;75303;74054;75043;75603;76881;77588;77543;75876;77882;79270;80731;85126;90588;93122;95387;95926;98956;98213;99240;97666;98271;94915;98225;97877;100693;103438;107389;109975;112449;116616;120293;123612;128026;132962;137150
